index,0
1131,2012.comp.536
1132,2012.comp.600870
1133,2013.comp.536
1134,2013.comp.600870
1135,2014.comp.536
1136,2019.comp.537
1137,2019.comp.2063
1138,2004.comp.539
1139,2005.comp.539
1140,2015.comp.539
1141,2018.comp.539
1142,2015.comp.541
1143,2015.comp.2449
1144,2015.comp.636
1145,2016.comp.541
1146,2016.comp.2449
1147,2016.comp.636
1148,2017.comp.541
1149,2017.comp.2449
1150,2017.comp.636
1151,2018.comp.541
1152,2018.comp.2449
1153,2018.comp.636
1154,2019.comp.541
1155,2019.comp.2449
1156,2019.comp.636
1157,2020.comp.541
1158,2020.comp.2449
1159,2020.comp.636
1160,2016.comp.550
1161,2020.comp.550
1162,2020.comp.625
1163,2008.comp.553
1164,2008.comp.953
1165,2009.comp.553
1166,2009.comp.953
1167,2011.comp.553
1168,2011.comp.953
1169,2012.comp.553
1170,2012.comp.953
1171,2003.comp.554
1172,2004.comp.554
1173,2005.comp.554
1174,2006.comp.554
1175,2007.comp.554
1176,2007.comp.600028
1177,2008.comp.554
1178,2008.comp.600028
1179,2009.comp.554
1180,2009.comp.600028
1181,2014.comp.555
1182,2014.comp.300378
1183,2015.comp.555
1184,2015.comp.300378
1185,2018.comp.2202
1186,2020.comp.300277
1187,2019.comp.557
1188,2019.comp.600027
1189,2019.comp.600989
1190,2020.comp.557
1191,2020.comp.600989
1192,2004.comp.559
1193,2013.comp.559
1194,2013.comp.631
1195,2014.comp.559
1196,2015.comp.559
1197,2015.comp.848
1198,2016.comp.559
1199,2016.comp.848
1200,2017.comp.559
1201,2017.comp.848
1202,2018.comp.559
1203,2018.comp.848
1204,2019.comp.559
1205,2019.comp.848
1206,2020.comp.559
1207,2020.comp.848
1208,2007.comp.564
1209,2007.comp.796
1210,2007.comp.600221
1211,2008.comp.564
1212,2008.comp.600221
1213,2008.comp.796
1214,2009.comp.600221
1215,2010.comp.564
1216,2010.comp.796
1217,2010.comp.600221
1218,2011.comp.564
1219,2013.comp.564
1220,2013.comp.796
1221,2015.comp.564
1222,2015.comp.796
1223,2016.comp.564
1224,2016.comp.616
1225,2017.comp.564
1226,2017.comp.600515
1227,2018.comp.564
1228,2018.comp.600515
1229,2019.comp.564
1230,2019.comp.600515
1231,2020.comp.564
1232,2020.comp.600515
1233,2009.comp.565
1234,2009.comp.950
1235,2010.comp.565
1236,2010.comp.950
1237,2012.comp.565
1238,2012.comp.950
1239,2014.comp.565
1240,2014.comp.950
1241,2015.comp.565
1242,2015.comp.950
1243,2016.comp.565
1244,2016.comp.950
1245,2019.comp.565
1246,2019.comp.600256
1247,2009.comp.566
1248,2009.comp.600847
1249,2010.comp.566
1250,2013.comp.566
1251,2013.comp.600847
1252,2020.comp.566
1253,2020.comp.778
1254,2018.comp.567
1255,2018.comp.600157
1256,2003.comp.569
1257,2003.comp.600674
1258,2004.comp.569
1259,2004.comp.600674
1260,2004.comp.629
1261,2005.comp.569
1262,2005.comp.629
1263,2007.comp.569
1264,2007.comp.629
1265,2008.comp.569
1266,2008.comp.629
1267,2003.comp.578
1268,2008.comp.578
1269,2008.comp.792
1270,2009.comp.578
1271,2009.comp.792
1272,2010.comp.578
1273,2010.comp.792
1274,2019.comp.581
1275,2019.comp.600667
1276,2014.comp.582
1277,2014.comp.600395
1278,2005.comp.584
1279,2005.comp.600481
1280,2006.comp.584
1281,2006.comp.600481
1282,2007.comp.584
1283,2007.comp.600481
1284,2008.comp.584
1285,2008.comp.600481
1286,2010.comp.584
1287,2010.comp.600481
1288,2011.comp.584
1289,2011.comp.600481
1290,2012.comp.584
1291,2012.comp.600481
1292,2013.comp.584
1293,2013.comp.600481
1294,2014.comp.584
1295,2014.comp.600481
1296,2015.comp.584
1297,2015.comp.600481
1298,2016.comp.584
1299,2016.comp.600481
1300,2017.comp.584
1301,2017.comp.600481
1302,2018.comp.584
1303,2018.comp.600481
1304,2019.comp.585
1305,2020.comp.585
1306,2005.comp.586
1307,2005.comp.509
1308,2015.comp.587
1309,2015.comp.300090
1310,2016.comp.587
1311,2016.comp.300090
1312,2003.comp.591
